Joueurs;Nbr matchs;Titu.;Remp.;Essais.;Transfo.;Péna.;Drops;Pts;Cartons jaunes;Cartons rouges
ARNOLD;25;24;1;16;0;0;0;80;0;0
ATTOUB;26;22;4;0;0;0;0;0;1;0
AUBERT;0;0;0;0;0;0;0;0;0;0
Aulas;0;0;0;0;0;0;0;0;0;0
BASSON;17;12;5;0;0;0;0;0;1;0
BONNAIRE;19;17;2;3;0;0;0;15;1;0
BONNEFOND;17;10;7;5;0;0;0;25;0;0
BONREPAUX;0;0;0;0;0;0;0;0;0;0
BRETT;17;12;5;3;21;18;0;111;1;0
BUCKLE;15;8;7;2;0;0;0;10;2;0
CERQUEIRA;12;5;7;2;0;0;0;10;2;0
DU PREEZ;28;20;8;2;0;0;0;10;1;0
DURAND;20;10;10;1;0;0;0;5;0;0
FEARNS;19;15;4;3;0;0;0;15;1;0
FIGUEROLA;13;6;7;1;0;0;0;5;0;0
FITZPATRICK;10;3;7;3;0;0;0;15;0;0
FOURIE;13;8;5;3;0;0;0;15;1;0
GHEZAL;19;10;9;1;0;0;0;5;0;0
GONDRAND;19;7;12;1;14;6;0;51;0;0
KOUIDER;16;2;14;1;0;0;0;5;1;0
LOREE;24;13;11;1;0;0;0;5;0;0
LOURSAC;21;16;5;3;3;0;0;21;0;0
LYNN;3;2;1;1;0;0;0;5;0;0
MAPUSUA;22;5;17;0;0;0;0;0;0;0
MATADIGO;9;7;2;2;0;0;0;10;0;0
MAVINGA;15;2;13;0;0;0;0;0;0;0
N'ZI;11;6;5;0;0;0;0;0;1;0
NALAGA;12;12;0;14;0;0;0;70;0;0
NAVROZASHVILI;2;0;2;0;0;0;0;0;0;0
NJEWEL;21;20;1;1;0;0;0;5;0;0
PAEA;23;22;1;8;0;0;0;40;2;0
PAULO;28;22;6;4;0;0;0;20;0;0
PORICAL;14;12;2;3;5;11;0;58;1;0
POTGIETER;16;14;2;1;37;37;1;193;0;0
PURICELLI;27;25;2;2;0;0;0;10;2;0
REGARD;28;21;7;13;0;0;0;65;2;0
ROMANET;18;17;1;8;0;0;0;40;0;0
SINGER;14;4;10;1;0;0;0;5;0;0
SUKANAVEITA;11;8;3;1;0;0;0;5;0;0
TISON;14;5;9;5;0;0;0;25;0;0
TUI;18;6;12;0;0;0;0;0;0;0
TUIFUA;21;14;7;0;0;0;0;0;1;0
TUVA;3;2;1;1;0;0;0;5;0;0
