Joueurs;Nbr matchs;Titu.;Remp.;Essais.;Transfo.;Péna.;Drops;Pts;Cartons jaunes;Cartons rouges
ARMITAGE;15;15;0;3;0;1;0;18;1;0
ARNOLD;25;25;0;12;0;0;0;60;0;0
ATTOUB;0;0;0;0;0;0;0;0;0;0
BARASSI;1;0;1;0;0;0;0;0;0;0
BEAUXIS;15;13;2;4;35;26;2;174;0;0
BEKHUIS;9;3;6;0;0;0;0;0;1;0
BELAN;15;8;7;0;0;0;0;0;0;0
BERDEU;0;0;0;0;0;0;0;0;0;0
BRUNI;6;4;2;0;0;0;0;0;0;0
BUCKLE;17;12;5;2;0;0;0;10;0;0
BUTTIN;18;17;1;3;0;0;0;15;0;0
CHOIRAT;12;3;9;1;0;0;0;5;0;0
CLEMENT;21;7;14;3;0;0;0;15;2;0
COTTE;5;1;4;0;0;0;0;0;0;0
COUILLOUD;21;16;5;10;1;0;0;52;0;0
CRETIN;19;10;9;4;0;0;0;20;0;0
DELORD;1;0;1;0;0;0;0;0;0;0
DOMINGUEZ;2;0;2;0;0;0;0;0;0;0
FEARNS;5;5;0;1;0;0;0;5;0;0
FOURIE;11;3;8;0;0;0;0;0;1;0
GILL;25;24;1;7;0;0;0;35;3;0
GOMEZ-KODELA;24;18;6;0;0;0;0;0;2;1
HALAFIHI;12;9;3;1;0;0;0;5;0;0
HALAIFONUA;0;0;0;0;0;0;0;0;0;0
HARRIS;20;12;8;3;11;19;0;94;0;0
IVALDI;25;23;2;2;0;0;0;10;1;0
KAABECHE;2;1;1;0;0;0;0;0;0;0
LACOMBE;22;3;19;0;0;0;0;0;0;0
LAMBEY;21;16;5;0;0;0;0;0;1;0
MATARADZE;0;0;0;0;0;0;0;0;0;0
MENINI;19;8;11;1;0;0;0;5;0;0
MICHALAK;21;6;15;0;10;14;0;62;0;0
MIGNOT;7;5;2;2;0;0;0;10;1;0
OOSTHUIZEN;24;14;10;1;0;0;0;5;0;0
PAEA;6;2;4;0;0;0;0;0;0;0
PAKIHIVATAU;0;0;0;0;0;0;0;0;0;0
PALISSON;19;18;1;6;0;0;0;30;0;0
PAPIDZE;0;0;0;0;0;0;0;0;0;0
PÉLISSIÉ;20;10;10;1;4;1;0;16;0;0
PURICELLI;23;22;1;1;0;0;0;5;1;0
REGARD;26;25;1;5;0;0;0;25;1;0
RIC;17;7;10;0;0;0;0;0;0;0
ROKODURU;2;2;0;0;0;0;0;0;0;0
ROODT;24;17;7;0;0;0;0;0;0;0
SEGURET;1;0;1;0;0;0;0;0;0;0
TUIFUA;22;9;13;3;0;0;0;15;0;0
TUVA;2;2;0;1;0;0;0;5;0;0
VAN DER MERWE;11;5;6;0;0;0;0;0;1;0
WULF;21;20;1;1;0;0;0;5;0;0
ZAFRA;0;0;0;0;0;0;0;0;0;0
